Index,Date,Time,Repo,Revs,Newest Rev,Oldest Rev,Revs in the Last Month,Revs in the Last Year,Download Time,Download Revs per Second
1,2024-02-13,19:57:08,https://svn.apache.org/repos/asf/ace,2257,2018-02-06,2009-05-08,0,0,4,564
2,2024-02-13,19:57:12,https://svn.apache.org/repos/asf/activemq,20425,2016-09-10,2005-12-02,0,0,22,928
3,2024-02-13,19:57:35,https://svn.apache.org/repos/asf/airavata,3739,2016-03-04,2011-05-12,0,0,5,747
4,2024-02-13,19:57:40,https://svn.apache.org/repos/asf/allura,47,2015-07-27,2012-10-10,0,0,1,47
5,2024-02-13,19:57:41,https://svn.apache.org/repos/asf/ambari,2789,2024-02-01,2011-08-30,1,1,6,464
6,2024-02-13,19:57:47,https://svn.apache.org/repos/asf/ant,19728,2024-01-13,2005-04-15,0,1,19,1038
7,2024-02-13,19:58:06,https://svn.apache.org/repos/asf/any23,1903,2022-03-03,2011-10-02,0,0,5,380
8,2024-02-13,19:58:11,https://svn.apache.org/repos/asf/apr,16667,2024-02-08,2004-11-13,1,1,14,1190
9,2024-02-13,19:58:26,https://svn.apache.org/repos/asf/archiva,10990,2018-04-17,2005-11-23,0,0,87,126
10,2024-02-13,19:59:53,https://svn.apache.org/repos/asf/aries,7961,2019-03-14,2009-09-22,0,0,78,102
11,2024-02-13,20:01:11,https://svn.apache.org/repos/asf/attic,928,2023-12-16,2008-12-11,0,1,7,132
12,2024-02-13,20:01:18,https://svn.apache.org/repos/asf/aurora,236,2019-12-30,2013-11-12,0,0,5,47
13,2024-02-13,20:01:23,https://svn.apache.org/repos/asf/avalon,10335,2015-03-04,2004-05-20,0,0,14,738
14,2024-02-13,20:01:37,https://svn.apache.org/repos/asf/avro,1781,2023-12-04,2009-04-09,0,1,19,93
15,2024-02-13,20:01:56,https://svn.apache.org/repos/asf/axis,5670,2020-03-19,2010-02-12,0,0,63,90
16,2024-02-13,20:02:59,https://svn.apache.org/repos/asf/beam,23,2016-12-27,2016-02-01,0,0,1,23
17,2024-02-13,20:03:00,https://svn.apache.org/repos/asf/beehive,3508,2015-05-08,2004-07-15,0,0,9,389
18,2024-02-13,20:03:09,https://svn.apache.org/repos/asf/bigtop,977,2015-01-11,2011-06-21,0,0,11,88
19,2024-02-13,20:03:20,https://svn.apache.org/repos/asf/bloodhound,1606,2023-08-25,2012-01-10,0,1,16,100
20,2024-02-13,20:03:36,https://svn.apache.org/repos/asf/board,87,2020-04-16,2017-01-19,0,0,2,43
21,2024-02-13,20:03:38,https://svn.apache.org/repos/asf/bookkeeper,821,2017-07-19,2011-03-30,0,0,3,273
22,2024-02-13,20:03:41,https://svn.apache.org/repos/asf/brooklyn,100,2020-12-02,2014-05-05,0,0,19,5
23,2024-02-13,20:04:00,https://svn.apache.org/repos/asf/bugs,2,2014-11-05,2014-11-05,0,0,2,1
24,2024-02-13,20:04:02,https://svn.apache.org/repos/asf/buildr,2421,2017-05-19,2007-11-01,0,0,15,161
25,2024-02-13,20:04:18,https://svn.apache.org/repos/asf/bval,1331,2023-10-09,2010-03-12,0,1,14,95
26,2024-02-13,20:04:32,https://svn.apache.org/repos/asf/calcite,222,2019-01-25,2014-08-01,0,0,9,24
27,2024-02-13,20:04:41,https://svn.apache.org/repos/asf/camel,17714,2019-07-18,2007-03-19,0,0,117,151
28,2024-02-13,20:06:39,https://svn.apache.org/repos/asf/cassandra,7033,2019-08-07,2009-01-02,0,0,55,127
29,2024-02-13,20:07:34,https://svn.apache.org/repos/asf/cayenne,5317,2017-11-20,2007-01-18,0,0,36,147
30,2024-02-13,20:08:10,https://svn.apache.org/repos/asf/celix,710,2018-12-10,2010-11-09,0,0,8,88
31,2024-02-13,20:08:18,https://svn.apache.org/repos/asf/chemistry,4024,2020-01-25,2009-04-30,0,0,31,129
32,2024-02-13,20:08:50,https://svn.apache.org/repos/asf/chukwa,873,2016-10-08,2009-03-10,0,0,8,109
33,2024-02-13,20:08:59,https://svn.apache.org/repos/asf/clerezza,2362,2022-05-19,2009-11-30,0,0,29,81
34,2024-02-13,20:09:28,https://svn.apache.org/repos/asf/click,5721,2015-09-14,2008-11-15,0,0,39,146
35,2024-02-13,20:10:07,https://svn.apache.org/repos/asf/climate,866,2018-05-02,2013-02-24,0,0,9,96
36,2024-02-13,20:10:16,https://svn.apache.org/repos/asf/cloudstack,415,2016-01-15,2012-06-21,0,0,12,34
37,2024-02-13,20:10:28,https://svn.apache.org/repos/asf/cocoon,25238,2024-01-11,2004-06-29,0,1,70,360
38,2024-02-13,20:11:38,https://svn.apache.org/repos/asf/comdev,15108,2024-02-13,2009-11-20,1,1,116,130
39,2024-02-13,20:13:35,https://svn.apache.org/repos/asf/commons,74644,2024-02-08,2005-01-28,1,1,551,135
40,2024-02-13,20:22:46,https://svn.apache.org/repos/asf/concom,548,2020-06-17,2012-02-26,0,0,5,109
41,2024-02-13,20:22:51,https://svn.apache.org/repos/asf/continuum,7002,2016-08-14,2005-04-11,0,0,34,205
42,2024-02-13,20:23:26,https://svn.apache.org/repos/asf/cordova,806,2021-08-17,2012-02-15,0,0,67,12
43,2024-02-13,20:24:33,https://svn.apache.org/repos/asf/couchdb,4081,2015-04-14,2008-02-21,0,0,28,145
44,2024-02-13,20:25:01,https://svn.apache.org/repos/asf/creadur,2432,2019-06-09,2008-01-14,0,0,25,97
45,2024-02-13,20:25:26,https://svn.apache.org/repos/asf/crunch,92,2020-08-20,2012-08-16,0,0,3,30
46,2024-02-13,20:25:29,https://svn.apache.org/repos/asf/ctakes,4608,2023-12-24,2012-09-16,0,1,51,90
47,2024-02-13,20:26:20,https://svn.apache.org/repos/asf/curator,85,2023-04-28,2013-03-22,0,1,13,6
48,2024-02-13,20:26:33,https://svn.apache.org/repos/asf/cxf,27414,2022-04-27,2006-08-04,0,0,243,112
49,2024-02-13,20:30:37,https://svn.apache.org/repos/asf/datafu,51,2024-01-16,2014-01-13,1,1,2,25
50,2024-02-13,20:30:39,https://svn.apache.org/repos/asf/db,25328,2024-01-03,2005-04-14,0,1,110,230
51,2024-02-13,20:32:29,https://svn.apache.org/repos/asf/deltacloud,1380,2016-02-27,2010-05-25,0,0,14,98
52,2024-02-13,20:32:43,https://svn.apache.org/repos/asf/deltaspike,987,2021-03-10,2012-06-02,0,0,15,65
53,2024-02-13,20:32:59,https://svn.apache.org/repos/asf/devicemap,1094,2017-01-01,2012-01-03,0,0,11,99
54,2024-02-13,20:33:10,https://svn.apache.org/repos/asf/directmemory,822,2015-08-13,2011-10-05,0,0,11,74
55,2024-02-13,20:33:21,https://svn.apache.org/repos/asf/directory,35384,2020-06-10,2003-12-02,0,0,275,128
56,2024-02-13,20:37:56,https://svn.apache.org/repos/asf/drill,160,2015-05-04,2012-08-14,0,0,3,53
57,2024-02-13,20:37:59,https://svn.apache.org/repos/asf/eagle,58,2017-11-23,2015-10-30,0,0,1,58
58,2024-02-13,20:38:00,https://svn.apache.org/repos/asf/empire-db,1068,2023-04-22,2008-07-31,0,1,11,97
59,2024-02-13,20:38:11,https://svn.apache.org/repos/asf/esme,937,2015-07-12,2008-12-05,0,0,9,104
60,2024-02-13,20:38:20,https://svn.apache.org/repos/asf/etch,735,2016-12-14,2008-07-29,0,0,9,81
61,2024-02-13,20:38:29,https://svn.apache.org/repos/asf/excalibur,1287,2015-04-12,2004-06-13,0,0,7,183
62,2024-02-13,20:38:36,https://svn.apache.org/repos/asf/falcon,68,2016-02-19,2013-05-14,0,0,2,34
63,2024-02-13,20:38:38,https://svn.apache.org/repos/asf/felix,20180,2021-06-21,2005-07-19,0,0,185,109
64,2024-02-13,20:41:43,https://svn.apache.org/repos/asf/flex,46347,2020-12-08,2012-01-03,0,0,528,87
65,2024-02-13,20:50:33,https://svn.apache.org/repos/asf/flink,144,2015-04-14,2014-05-22,0,0,12,12
66,2024-02-13,20:50:45,https://svn.apache.org/repos/asf/flume,1148,2019-01-08,2011-06-14,0,0,14,82
67,2024-02-13,20:50:59,https://svn.apache.org/repos/asf/forrest,11654,2018-07-30,2004-03-09,0,0,49,237
68,2024-02-13,20:51:48,https://svn.apache.org/repos/asf/fundraising,52,2020-11-23,2017-06-19,0,0,2,26
69,2024-02-13,20:51:50,https://svn.apache.org/repos/asf/geode,3,2016-12-05,2015-04-28,0,0,1,3
70,2024-02-13,20:51:51,https://svn.apache.org/repos/asf/geronimo,32049,2022-06-21,2004-09-10,0,0,223,143
71,2024-02-13,20:55:34,https://svn.apache.org/repos/asf/giraph,224,2020-08-12,2012-05-22,0,0,9,24
72,2024-02-13,20:55:43,https://svn.apache.org/repos/asf/gora,851,2020-10-27,2010-10-03,0,0,10,85
73,2024-02-13,20:55:53,https://svn.apache.org/repos/asf/gump,15593,2023-11-03,2004-08-01,0,1,87,179
74,2024-02-13,20:57:20,https://svn.apache.org/repos/asf/hadoop,35405,2019-02-01,2008-01-16,0,0,415,85
75,2024-02-13,21:04:16,https://svn.apache.org/repos/asf/hama,1816,2016-01-27,2008-05-23,0,0,18,100
76,2024-02-13,21:04:34,https://svn.apache.org/repos/asf/harmony,13671,2011-11-22,2005-05-19,0,0,90,151
77,2024-02-13,21:06:04,https://svn.apache.org/repos/asf/hbase,16598,2015-11-04,2008-02-04,0,0,206,80
78,2024-02-13,21:09:30,https://svn.apache.org/repos/asf/helix,263,2023-09-29,2012-10-23,0,1,13,20
79,2024-02-13,21:09:43,https://svn.apache.org/repos/asf/hive,6794,2021-06-09,2010-10-08,0,0,98,69
80,2024-02-13,21:11:21,https://svn.apache.org/repos/asf/hivemind,934,2014-10-28,2005-06-07,0,0,9,103
81,2024-02-13,21:11:30,https://svn.apache.org/repos/asf/httpcomponents,6895,2024-01-31,2007-12-13,1,1,125,55
82,2024-02-13,21:13:35,https://svn.apache.org/repos/asf/httpd,74292,2024-02-12,2004-11-18,1,1,173,429
83,2024-02-13,21:16:29,https://svn.apache.org/repos/asf/ibatis,3056,2014-10-28,2005-02-08,0,0,20,152
84,2024-02-13,21:16:49,https://svn.apache.org/repos/asf/ignite,1936,2020-04-02,2014-10-11,0,0,45,43
85,2024-02-13,21:17:34,https://svn.apache.org/repos/asf/infrastructure,15168,2024-01-17,2004-03-09,1,1,114,133
86,2024-02-13,21:19:28,https://svn.apache.org/repos/asf/isis,19453,2015-06-16,2010-10-11,0,0,207,93
87,2024-02-13,21:22:55,https://svn.apache.org/repos/asf/jackrabbit,40547,2024-02-11,2004-09-13,1,1,473,85
88,2024-02-13,21:30:48,https://svn.apache.org/repos/asf/jakarta,73862,2016-01-08,2004-10-10,0,0,231,319
89,2024-02-13,21:34:40,https://svn.apache.org/repos/asf/james,15982,2018-01-31,2004-01-28,0,0,120,133
90,2024-02-13,21:36:40,https://svn.apache.org/repos/asf/jclouds,233,2022-12-25,2013-05-07,0,0,16,14
91,2024-02-13,21:36:56,https://svn.apache.org/repos/asf/jena,26529,2023-01-03,2010-12-03,0,0,323,82
92,2024-02-13,21:42:19,https://svn.apache.org/repos/asf/jmeter,9071,2019-06-08,2011-11-01,0,0,101,89
93,2024-02-13,21:44:00,https://svn.apache.org/repos/asf/johnzon,89,2024-02-10,2014-06-25,1,1,9,9
94,2024-02-13,21:44:09,https://svn.apache.org/repos/asf/jspwiki,8853,2021-01-04,2001-07-06,0,0,63,140
95,2024-02-13,21:45:12,https://svn.apache.org/repos/asf/juddi,3063,2018-02-09,2005-08-27,0,0,20,153
96,2024-02-13,21:45:32,https://svn.apache.org/repos/asf/kafka,665,2018-12-03,2011-07-06,0,0,9,73
97,2024-02-13,21:45:41,https://svn.apache.org/repos/asf/karaf,7116,2024-01-10,2010-06-25,0,1,81,87
98,2024-02-13,21:47:02,https://svn.apache.org/repos/asf/knox,513,2024-02-08,2013-02-27,1,1,7,73
99,2024-02-13,21:47:09,https://svn.apache.org/repos/asf/kylin,984,2024-01-29,2014-12-26,1,1,14,70
100,2024-02-13,21:47:23,https://svn.apache.org/repos/asf/labs,4139,2018-07-21,2006-11-18,0,0,28,147
101,2024-02-13,21:47:51,https://svn.apache.org/repos/asf/lens,29,2018-02-06,2014-12-05,0,0,10,2
102,2024-02-13,21:48:01,https://svn.apache.org/repos/asf/lenya,13444,2015-07-12,2004-09-04,0,0,68,197
103,2024-02-13,21:49:09,https://svn.apache.org/repos/asf/libcloud,2828,2022-03-24,2009-11-17,0,0,28,101
104,2024-02-13,21:49:37,https://svn.apache.org/repos/asf/logging,12008,2020-08-28,2005-10-09,0,0,92,130
105,2024-02-13,21:51:09,https://svn.apache.org/repos/asf/lucene,48544,2024-02-07,2005-02-02,1,1,491,98
106,2024-02-13,21:59:20,https://svn.apache.org/repos/asf/lucene.net,761,2014-04-28,2010-01-09,0,0,13,58
107,2024-02-13,21:59:33,https://svn.apache.org/repos/asf/lucy,2369,2018-07-18,2006-06-06,0,0,21,112
108,2024-02-13,21:59:54,https://svn.apache.org/repos/asf/mahout,4114,2017-06-27,2008-01-15,0,0,15,274
109,2024-02-13,22:00:09,https://svn.apache.org/repos/asf/manifoldcf,8245,2024-01-18,2010-01-11,1,1,129,63
110,2024-02-13,22:02:18,https://svn.apache.org/repos/asf/marmotta,439,2020-09-07,2013-01-16,0,0,5,87
111,2024-02-13,22:02:23,https://svn.apache.org/repos/asf/maven,77336,2024-02-01,2004-12-15,1,1,665,116
112,2024-02-13,22:13:29,https://svn.apache.org/repos/asf/mesos,2117,2017-03-29,2011-01-07,0,0,32,66
113,2024-02-13,22:14:01,https://svn.apache.org/repos/asf/metamodel,152,2021-02-23,2013-07-10,0,0,3,50
114,2024-02-13,22:14:04,https://svn.apache.org/repos/asf/mina,4865,2023-06-19,2006-11-18,0,1,35,139
115,2024-02-13,22:14:39,https://svn.apache.org/repos/asf/mrunit,280,2016-05-01,2011-03-09,0,0,3,93
116,2024-02-13,22:14:42,https://svn.apache.org/repos/asf/myfaces,37947,2022-07-08,2005-04-15,0,0,340,111
117,2024-02-13,22:20:22,https://svn.apache.org/repos/asf/nifi,606,2023-07-14,2014-11-26,0,1,9,67
118,2024-02-13,22:20:31,https://svn.apache.org/repos/asf/nutch,3240,2021-05-14,2005-01-23,0,0,24,135
119,2024-02-13,22:20:55,https://svn.apache.org/repos/asf/ode,4285,2018-03-23,2006-02-17,0,0,29,147
120,2024-02-13,22:21:24,https://svn.apache.org/repos/asf/ofbiz,35044,2021-07-20,2006-03-09,0,0,297,117
121,2024-02-13,22:26:22,https://svn.apache.org/repos/asf/olingo,1313,2021-06-07,2013-07-08,0,0,14,93
122,2024-02-13,22:26:36,https://svn.apache.org/repos/asf/oltu,846,2018-04-15,2010-05-31,0,0,10,84
123,2024-02-13,22:26:46,https://svn.apache.org/repos/asf/onami,1070,2016-02-26,2012-11-15,0,0,13,82
124,2024-02-13,22:26:59,https://svn.apache.org/repos/asf/oodt,4903,2016-06-29,2010-01-25,0,0,57,86
125,2024-02-13,22:27:56,https://svn.apache.org/repos/asf/oozie,2304,2021-08-05,2011-07-12,0,0,30,76
